Country,Date,CPI Inflation,Exchange Rate, Lending Interest Rate,World Oil Price,Global Economic Activity,wop_lag1,wop_lag2,gea_lag1,wop_pct_change,oil_moving_average,gea_moving_average,wop_volatility,Global_Pressure_Index,EXR_Log_Returns,CPI Inflation_Lag1,CPI Inflation_Lag2, Lending Interest Rate_Lag1, Lending Interest Rate_Lag2,EXR_Log_Returns_Lag1,EXR_Log_Returns_Lag2
S. AFRICA,01/02/2016,6.93481276,16.061,10.25,30.37761905,-161.18476,31.78428571,37.39608696,-138.4775,-0.0442566705080125,37.25520359,-115.1821,5.401854239584506,3.134405212515105,-0.0009241727833901869,6.145251397,5.160390516,10.25,9.75,0.03357910235343331,0.07361918844364057
S. AFRICA,01/03/2016,6.438356164,14.7321,10.5,37.90173913,-139.09365,30.37761905,31.78428571,-161.18476,0.2476863004837768,33.18599724,-136.26396666666668,3.713262630211415,2.1007284075050743,-0.08636518657636882,6.93481276,6.145251397,10.25,10.25,-0.0009241727833901869,0.03357910235343331
S. AFRICA,01/04/2016,6.512890095,14.16795,10.5,41.03190476,-93.267817,37.90173913,30.37761905,-139.09365,0.0825863324968749,33.354547963333324,-146.25197,4.00029853920253,1.2699938634955543,-0.03904641510970208,6.438356164,6.93481276,10.5,10.25,-0.08636518657636882,-0.0009241727833901869
S. AFRICA,01/05/2016,6.504065041,15.7881,10.5,46.84181818,-91.312071,41.03190476,37.90173913,-93.267817,0.1415950210935319,36.43708764666666,-131.1820756666667,5.476071034354742,0.9182656689122706,0.1082741203103521,6.512890095,6.438356164,10.5,10.5,-0.03904641510970208,-0.08636518657636882
S. AFRICA,01/06/2016,6.469002695,14.77515,10.5,48.79181818,-93.382684,46.84181818,41.03190476,-91.312071,0.0416294686194012,41.92515402333333,-107.89117933333334,4.536482562503136,0.8250998785984701,-0.06630977618014944,6.504065041,6.512890095,10.5,10.5,0.1082741203103521,-0.03904641510970208
S. AFRICA,01/07/2016,6.550802139,14.15085,10.5,44.89619048,-77.996335,48.79181818,46.84181818,-93.382684,-0.0798418227750494,45.555180373333336,-92.65419066666668,4.036786061414545,0.8911915717818677,-0.04317202256843755,6.469002695,6.504065041,10.5,10.5,-0.06630977618014944,0.1082741203103521
S. AFRICA,01/08/2016,6.275033378,14.5349,10.5,44.75173913,-83.016371,44.89619048,48.79181818,-77.996335,-0.0032174522705741,46.84327561333333,-87.56369666666667,1.947814258941163,0.9501976565767428,0.026777961085757696,6.550802139,6.469002695,10.5,10.5,-0.04317202256843755,-0.06630977618014944
S. AFRICA,01/09/2016,6.408544726,13.8876,10.5,45.2,-62.398151,44.75173913,44.89619048,-83.016371,0.0100166134035113,46.14658259666666,-84.79846333333334,2.291979497427404,0.7188696996366317,-0.04555629838231656,6.275033378,6.550802139,10.5,10.5,0.026777961085757696,-0.04317202256843755
S. AFRICA,01/10/2016,6.657789614,13.84505,10.5,49.80952381,-57.664635,45.2,44.75173913,-62.398151,0.1019806152654867,44.94930987,-74.47028566666667,0.2288027624122728,0.4986258079076757,-0.0030685876314291427,6.408544726,6.275033378,10.5,10.5,-0.04555629838231656,0.026777961085757696
S. AFRICA,01/11/2016,6.914893617,14.0018,10.5,45.47090909,-36.577947,49.80952381,45.2,-57.664635,-0.0871041196167581,46.58708764666667,-67.69305233333334,2.799697407214017,0.4512694908976819,0.01125812475076593,6.657789614,6.408544726,10.5,10.5,-0.0030685876314291427,-0.04555629838231656
S. AFRICA,01/12/2016,7.029177719,13.68445,10.5,52.05272727,-38.764179,45.47090909,49.80952381,-36.577947,0.144747890722235,46.82681096666666,-52.21357766666667,2.5866541831290726,0.2967831895679606,-0.022925741083267948,6.914893617,6.657789614,10.5,10.5,0.01125812475076593,-0.0030685876314291427
S. AFRICA,01/01/2017,6.842105263,13.4515,10.5,52.56181818,-53.580036,52.05272727,45.47090909,-38.764179,0.0097802927281662,49.11105339,-44.33558700000001,3.3460392009590447,0.3713421334557654,-0.017169527702904475,7.029177719,6.914893617,10.5,10.5,-0.022925741083267948,0.01125812475076593
S. AFRICA,01/02/2017,6.485084306,13.02485,10.5,53.45,-71.342363,52.56181818,52.05272727,-53.580036,0.0168978519152132,50.028484846666665,-42.974054,3.955175845898228,0.437003366448265,-0.03223155273472145,6.842105263,7.029177719,10.5,10.5,-0.017169527702904475,-0.022925741083267948
S. AFRICA,01/03/2017,6.177606178,13.27355,10.5,49.36304348,-30.387399,53.45,52.56181818,-71.342363,-0.0764631715622077,52.68818181666666,-54.56219266666668,0.7071552849289507,0.3038546396859402,0.018914262031926032,6.485084306,6.842105263,10.5,10.5,-0.03223155273472145,-0.017169527702904475
S. AFRICA,01/04/2017,5.222929936,13.2424,10.5,51.174,-23.53293,49.36304348,53.45,-30.387399,0.0366864843075109,51.79162055333333,-51.76993266666668,2.1495829100510764,0.2177508921878818,-0.0023495303264455814,6.177606178,6.485084306,10.5,10.5,0.018914262031926032,-0.03223155273472145
S. AFRICA,01/05/2017,5.34351145,13.12985,10.5,48.55956522,-46.045829,51.174,49.36304348,-23.53293,-0.0510891229921444,51.329014493333325,-41.75423066666667,2.047883180005384,0.4500572262240067,-0.008535538933716058,5.222929936,6.177606178,10.5,10.5,-0.0023495303264455814,0.018914262031926032
S. AFRICA,01/06/2017,5.063291139,13.06245,10.5,45.18545455,-58.27704,48.55956522,51.174,-46.045829,-0.0694839555237681,49.698869566666666,-33.32205266666667,1.3391794782931723,0.6778122681114801,-0.005146562063595095,5.34351145,5.222929936,10.5,10.5,-0.008535538933716058,-0.0023495303264455814
S. AFRICA,01/07/2017,4.265997491,13.0195,10.25,46.58190476,-52.952918,45.18545455,48.55956522,-58.27704,0.030904861396376,48.306339923333326,-42.61859966666667,3.0022926972285084,0.5754749665532141,-0.0032934683812348986,5.063291139,5.34351145,10.5,10.5,-0.005146562063595095,-0.008535538933716058
S. AFRICA,01/08/2017,4.522613065,13.07189542,10.25,48.04782609,-30.045135,46.58190476,45.18545455,-52.952918,0.0314697592885637,46.77564150999999,-52.425262333333336,1.6953778781074589,0.3299610203440841,0.004016304194374154,4.265997491,5.063291139,10.25,10.5,-0.0032934683812348986,-0.005146562063595095
S. AFRICA,01/09/2017,4.893350063,13.49527665,10.25,49.73571429,-12.638086,48.04782609,46.58190476,-30.045135,0.0351293354425308,46.6050618,-47.09169766666667,1.431326271199348,0.1617496810834622,0.031875208665448795,4.522613065,4.265997491,10.25,10.25,0.004016304194374154,-0.0032934683812348986
S. AFRICA,01/10/2017,4.744069913,14.10437236,10.25,51.57318182,-4.0660137,49.73571429,48.04782609,-12.638086,0.0369446293519795,48.12181504666666,-31.878713000000005,1.5782060740473527,0.0837782167854117,0.04414509932295951,4.893350063,4.522613065,10.25,10.25,0.031875208665448795,0.004016304194374154
S. AFRICA,01/11/2017,4.353233831,13.6239782,10.25,56.73818182,-6.2320706,51.57318182,49.73571429,-4.0660137,0.1001489498558922,49.78557406666666,-15.583078233333335,1.7632066679084215,0.0541608977217908,-0.0346535025263881,4.744069913,4.893350063,10.25,10.25,0.04414509932295951,0.031875208665448795
S. AFRICA,01/12/2017,4.460966543,12.31527094,10.25,57.92047619,4.4639245,56.73818182,51.57318182,-6.2320706,0.0208377204216869,52.68235931,-7.645390100000005,3.630612056584535,0.0127478654049158,-0.10099131109916248,4.353233831,4.744069913,10.25,10.25,-0.0346535025263881,0.04414509932295951
S. AFRICA,01/01/2018,4.310344828,11.84834123,10.25,63.58478261,-22.282415,57.92047619,56.73818182,4.4639245,0.0977945416301315,55.41061327666666,-1.944719933333338,3.3754799855418285,-0.0078306243694389,-0.03865215495027874,4.460966543,4.353233831,10.25,10.25,-0.10099131109916248,-0.0346535025263881
S. AFRICA,01/02/2018,3.775883069,11.75088132,10.25,62.227,-32.313481,63.58478261,57.92047619,-22.282415,-0.0213538924608427,59.41448020666666,-8.016853700000004,3.659647742033126,0.0210668754422749,-0.008259633457417426,4.310344828,4.460966543,10.25,10.25,-0.03865215495027874,-0.10099131109916248
S. AFRICA,01/03/2018,3.757575758,11.8680557,10.0,62.83045455,-29.584683,62.227,63.58478261,-32.313481,0.0096976320568242,61.24408626666666,-16.710657166666675,2.9573098181106503,0.0066294432845389,0.009922151975641835,3.775883069,4.310344828,10.25,10.25,-0.008259633457417426,-0.03865215495027874
S. AFRICA,01/04/2018,4.237288136,12.43145606,10.0,66.31380952,-31.867615,62.83045455,62.227,-29.584683,0.0554405502068742,62.88074571999999,-28.060193,0.6802869286841134,-0.0727200871368956,0.04637964374013803,3.757575758,3.775883069,10.0,10.25,0.009922151975641835,-0.008259633457417426
