Country,Date,CPI Inflation,Exchange Rate, Lending Interest Rate,World Oil Price,Global Economic Activity,wop_lag1,wop_lag2,gea_lag1,wop_pct_change,oil_moving_average,gea_moving_average,wop_volatility,Global_Pressure_Index
KENYA,01/01/2015,5.526211116,91.6736,15.92598275,47.55727273,-76.273874,94.96304348,94.72956522,-7.6902796,-0.49920231084405,96.59829380000001,-41.30379786666666,3.0367793998257664,0.7460763125556304
KENYA,01/01/2016,7.777543382,102.2834,17.94904105,31.78428571,-138.4775,47.55727273,94.96304348,-76.273874,-0.3316629847457614,79.08329381,-52.288910200000004,27.30258471055307,2.599101974150875
KENYA,01/01/2017,6.992997668,103.9555556,13.66242812,52.56181818,-53.580036,31.78428571,47.55727273,-138.4775,0.6537045588997761,58.101533973333325,-74.14721786666667,32.8827453570384,0.3713421334557651
KENYA,01/01/2018,4.82583773,102.3572222,13.65181155,63.58478261,-22.282415,52.56181818,31.78428571,-53.580036,0.20971429093741434,43.96779220666667,-89.44380333333334,10.843880380473568,-0.007830624369438937
KENYA,01/01/2019,4.6978889,100.89,12.49718179,51.2273913,-37.313544,63.58478261,52.56181818,-22.282415,-0.1943451059004886,49.3102955,-71.44665033333332,16.147668580189663,0.30915689607864355
KENYA,01/01/2020,7.385222888,100.585,12.28882976,57.71695652,-79.506048,51.2273913,63.58478261,-37.313544,0.12668154780702245,55.79133069666667,-37.72533166666667,6.782226280403576,0.2694220037963102
KENYA,01/01/2021,5.693761156,110.1441176,11.99646325,51.84952381,7.2419723,57.71695652,51.2273913,-79.506048,-0.10165873365077416,57.509710143333336,-46.36733566666667,6.181301909193401,0.009933238400235446
KENYA,01/01/2022,5.388272338,113.5735294,12.12347178,83.27761905,7.9725682,51.84952381,57.71695652,7.2419723,0.6061404798078125,53.597957210000004,-36.525873233333336,3.5806952819021376,-0.009441542629345103
KENYA,01/01/2023,8.978357129,124.4029412,12.76652836,78.25136364,-62.295751,83.27761905,51.84952381,7.9725682,-0.0603554168255247,64.28136646,-21.430502500000003,16.710772004874773,-0.6048551241172581
KENYA,01/02/2000,7.600732601,73.3972,25.39,29.36238095,-8.6818619,78.25136364,83.27761905,-62.295751,-0.6247684438435686,71.12616883333334,-15.69373683333333,16.88216791109306,0.33243670544101694
KENYA,01/02/2001,10.12765957,78.0806,20.13,29.5835,-4.1514756,29.36238095,78.25136364,-8.6818619,0.007530692091235247,63.63045454666667,-21.001681566666665,29.783241292404046,0.24470073606071177
KENYA,01/02/2002,1.197836167,78.11,19.18,20.7755,-46.491956,29.5835,29.36238095,-4.1514756,-0.29773353389558366,45.73241486333333,-25.0430295,28.16245276184538,1.318471814991271
KENYA,01/02/2003,7.44558992,76.6033,18.83,35.915,8.0225415,20.7755,29.5835,-46.491956,0.7287189237322806,26.573793650000002,-19.77509783333333,5.022686566698486,0.011995756619519739
KENYA,01/02/2004,9.850746269,76.45,13.01,34.722,126.39644,35.915,20.7755,8.0225415,-0.03321731866907973,28.758000000000006,-14.206963366666661,7.603433615808212,-1.880692434107126
KENYA,01/02/2005,13.9363354,75.6222,12.34,47.9905,106.95216,34.722,35.915,126.39644,0.3821352456655722,30.470833333333342,29.309008500000004,8.417566666402802,-0.8367343686452462
KENYA,01/02/2006,18.86996025,73.19777778,13.2664069,61.544,43.63409,47.9905,34.722,106.95216,0.28242047905314593,39.54250000000001,80.45704716666667,7.340459130735752,-0.031233142064925848
KENYA,01/02/2007,6.812210386,69.73333333,13.64,59.2695,102.00233,61.544,47.9905,43.63409,-0.03695729884310406,48.0855,92.32756333333334,13.411252355764601,-0.2028864971370789
KENYA,01/02/2008,19.35764047,68.97777778,13.84,95.36142857,144.61082,59.2695,61.544,102.00233,0.6089460611275614,56.268,84.19619333333334,7.258174167791875,2.46314917184581
KENYA,01/02/2009,14.69205184,79.68722222,14.66747817,39.0785,13.499657,95.36142857,59.2695,144.61082,-0.5902064326635539,72.05830952333334,96.74908,20.213110981237886,-0.06356638587322473
KENYA,01/02/2010,5.177837207,76.8972,14.98,76.308,52.222825,39.0785,95.36142857,13.499657,0.9526849802320971,64.56980952333335,86.704269,28.513364811720923,0.3218590710331091
KENYA,01/02/2011,6.541968015,82.36388889,13.922,89.414,-29.74239,76.308,39.0785,52.222825,0.17175132358337253,70.24930952333334,70.11110066666667,28.626435506764892,-0.5701164684984004
KENYA,01/02/2012,16.69106313,82.97083333,20.27887715,102.2971429,-82.521269,89.414,76.308,-29.74239,0.14408418032970216,68.26683333333334,11.993364000000009,26.113423963228836,-2.0129421749414464
KENYA,01/02/2013,4.454028509,86.23611111,17.84071205,95.3095,-76.660796,102.2971429,89.414,-82.521269,-0.06830731242250554,89.33971430000001,-20.013611333333326,12.994730699136195,-1.5476330085462233
KENYA,01/02/2014,6.856060799,86.32638889,17.05967087,100.705,-33.233261,95.3095,102.2971429,-76.660796,0.05661030642275944,95.67354763333333,-62.974818333333324,6.449282189124275,-0.8889074024865472
